date, rr, since start
2015-09-12 21:33:52 +0000, 778, 222455
2015-09-12 21:33:53 +0000, 854, 223309
2015-09-12 21:33:54 +0000, 902, 224211
2015-09-12 21:33:55 +0000, 916, 225127
2015-09-12 21:33:56 +0000, 891, 226018
2015-09-12 21:33:57 +0000, 875, 226893
2015-09-12 21:33:58 +0000, 934, 227827
2015-09-12 21:33:58 +0000, 917, 228744
2015-09-12 21:33:59 +0000, 914, 229658
2015-09-12 21:34:00 +0000, 933, 230591
2015-09-12 21:34:01 +0000, 888, 231479
2015-09-12 21:34:02 +0000, 880, 232359
2015-09-12 21:34:03 +0000, 870, 233229
2015-09-12 21:34:04 +0000, 853, 234082
2015-09-12 21:34:05 +0000, 991, 235073
2015-09-12 21:34:06 +0000, 1009, 236082
2015-09-12 21:34:08 +0000, 934, 237016
2015-09-12 21:34:08 +0000, 923, 237939
2015-09-12 21:34:09 +0000, 977, 238916
2015-09-12 21:34:10 +0000, 960, 239876
2015-09-12 21:34:12 +0000, 934, 240810
2015-09-12 21:34:12 +0000, 857, 241667
2015-09-12 21:34:12 +0000, 891, 242558
2015-09-12 21:34:13 +0000, 976, 243534
2015-09-12 21:34:14 +0000, 961, 244495
2015-09-12 21:34:16 +0000, 926, 245421
2015-09-12 21:34:16 +0000, 1004, 246425
2015-09-12 21:34:17 +0000, 1006, 247431
2015-09-12 21:34:18 +0000, 975, 248406
2015-09-12 21:34:19 +0000, 974, 249380
2015-09-12 21:34:21 +0000, 994, 250374
2015-09-12 21:34:22 +0000, 951, 251325
2015-09-12 21:34:23 +0000, 969, 252294
2015-09-12 21:34:24 +0000, 972, 253266
2015-09-12 21:34:25 +0000, 928, 254194
2015-09-12 21:34:26 +0000, 901, 255095
2015-09-12 21:34:27 +0000, 833, 255928
2015-09-12 21:34:27 +0000, 766, 256694
2015-09-12 21:34:28 +0000, 829, 257523
2015-09-12 21:34:29 +0000, 892, 258415
2015-09-12 21:34:30 +0000, 867, 259282
2015-09-12 21:34:31 +0000, 865, 260147
2015-09-12 21:34:32 +0000, 972, 261119
2015-09-12 21:34:33 +0000, 960, 262079
2015-09-12 21:34:34 +0000, 867, 262946
2015-09-12 21:34:35 +0000, 932, 263878
2015-09-12 21:34:36 +0000, 967, 264845
2015-09-12 21:34:37 +0000, 917, 265762
2015-09-12 21:34:37 +0000, 949, 266711
2015-09-12 21:34:38 +0000, 995, 267706
2015-09-12 21:34:39 +0000, 914, 268620
2015-09-12 21:34:40 +0000, 946, 269566
2015-09-12 21:34:41 +0000, 1005, 270571
2015-09-12 21:34:42 +0000, 954, 271525
2015-09-12 21:34:43 +0000, 868, 272393
2015-09-12 21:34:43 +0000, 864, 273257
2015-09-12 21:34:44 +0000, 885, 274142
2015-09-12 21:34:45 +0000, 849, 274991
2015-09-12 21:34:46 +0000, 783, 275774
2015-09-12 21:34:46 +0000, 880, 276654
2015-09-12 21:34:47 +0000, 976, 277630
2015-09-12 21:34:48 +0000, 929, 278559
2015-09-12 21:34:49 +0000, 955, 279514
2015-09-12 21:34:50 +0000, 951, 280465
2015-09-12 21:34:52 +0000, 891, 281356
2015-09-12 21:34:52 +0000, 942, 282298
2015-09-12 21:34:53 +0000, 937, 283235
2015-09-12 21:34:54 +0000, 822, 284057
2015-09-12 21:34:56 +0000, 837, 284894
2015-09-12 21:34:56 +0000, 937, 285831
2015-09-12 21:34:56 +0000, 883, 286714
2015-09-12 21:34:57 +0000, 874, 287588
2015-09-12 21:34:58 +0000, 903, 288491
2015-09-12 21:34:59 +0000, 885, 289376
2015-09-12 21:35:01 +0000, 891, 290267
2015-09-12 21:35:01 +0000, 950, 291217
2015-09-12 21:35:02 +0000, 981, 292198
2015-09-12 21:35:03 +0000, 958, 293156
2015-09-12 21:35:04 +0000, 978, 294134
2015-09-12 21:35:05 +0000, 849, 294983
2015-09-12 21:35:05 +0000, 731, 295714
2015-09-12 21:35:06 +0000, 751, 296465
2015-09-12 21:35:07 +0000, 862, 297327
2015-09-12 21:35:08 +0000, 895, 298222
2015-09-12 21:35:09 +0000, 839, 299061
2015-09-12 21:35:10 +0000, 914, 299975
2015-09-12 21:35:11 +0000, 958, 300933
2015-09-12 21:35:12 +0000, 926, 301859
2015-09-12 21:35:12 +0000, 821, 302680
2015-09-12 21:35:13 +0000, 858, 303538
2015-09-12 21:35:14 +0000, 824, 304362
2015-09-12 21:35:15 +0000, 769, 305131
2015-09-12 21:35:16 +0000, 816, 305947
2015-09-12 21:35:17 +0000, 855, 306802
2015-09-12 21:35:17 +0000, 843, 307645
2015-09-12 21:35:18 +0000, 818, 308463
2015-09-12 21:35:19 +0000, 864, 309327
2015-09-12 21:35:20 +0000, 879, 310206
2015-09-12 21:35:21 +0000, 814, 311020
2015-09-12 21:35:22 +0000, 802, 311822
2015-09-12 21:35:22 +0000, 874, 312696
2015-09-12 21:35:23 +0000, 924, 313620
2015-09-12 21:35:24 +0000, 845, 314465
2015-09-12 21:35:25 +0000, 894, 315359
2015-09-12 21:35:26 +0000, 918, 316277
2015-09-12 21:35:27 +0000, 844, 317121
2015-09-12 21:35:28 +0000, 854, 317975
2015-09-12 21:35:29 +0000, 875, 318850
2015-09-12 21:35:29 +0000, 792, 319642
2015-09-12 21:35:30 +0000, 871, 320513
2015-09-12 21:35:31 +0000, 973, 321486
2015-09-12 21:35:32 +0000, 913, 322399
2015-09-12 21:35:33 +0000, 943, 323342
2015-09-12 21:35:34 +0000, 871, 324213
2015-09-12 21:35:35 +0000, 771, 324984
2015-09-12 21:35:36 +0000, 788, 325772
2015-09-12 21:35:36 +0000, 797, 326569
2015-09-12 21:35:37 +0000, 772, 327341
2015-09-12 21:35:38 +0000, 744, 328085
2015-09-12 21:35:39 +0000, 715, 328800
2015-09-12 21:35:39 +0000, 706, 329506
2015-09-12 21:35:40 +0000, 700, 330206
2015-09-12 21:35:41 +0000, 776, 330982
2015-09-12 21:35:44 +0000, 880, 331862
2015-09-12 21:35:44 +0000, 944, 332806
2015-09-12 21:35:46 +0000, 944, 333750
2015-09-12 21:35:46 +0000, 814, 334564
2015-09-12 21:35:47 +0000, 833, 335397
2015-09-12 21:35:49 +0000, 859, 336256
2015-09-12 21:35:49 +0000, 727, 336983
2015-09-12 21:35:49 +0000, 703, 337686
2015-09-12 21:35:50 +0000, 754, 338440
2015-09-12 21:35:51 +0000, 857, 339297
2015-09-12 21:35:52 +0000, 827, 340124
2015-09-12 21:35:53 +0000, 781, 340905
2015-09-12 21:35:53 +0000, 856, 341761
2015-09-12 21:35:54 +0000, 919, 342680
2015-09-12 21:35:56 +0000, 882, 343562
2015-09-12 21:35:56 +0000, 863, 344425
2015-09-12 21:35:57 +0000, 902, 345327
2015-09-12 21:35:58 +0000, 889, 346216
2015-09-12 21:35:59 +0000, 911, 347127
2015-09-12 21:36:00 +0000, 955, 348082
2015-09-12 21:36:01 +0000, 934, 349016
2015-09-12 21:36:02 +0000, 827, 349843
2015-09-12 21:36:02 +0000, 790, 350633
2015-09-12 21:36:03 +0000, 824, 351457
2015-09-12 21:36:04 +0000, 794, 352251
2015-09-12 21:36:05 +0000, 791, 353042
2015-09-12 21:36:06 +0000, 854, 353896
2015-09-12 21:36:06 +0000, 872, 354768
2015-09-12 21:36:07 +0000, 736, 355504
2015-09-12 21:36:08 +0000, 674, 356178
2015-09-12 21:36:09 +0000, 689, 356867
2015-09-12 21:36:09 +0000, 704, 357571
2015-09-12 21:36:10 +0000, 756, 358327
2015-09-12 21:36:11 +0000, 738, 359065
2015-09-12 21:36:11 +0000, 750, 359815
2015-09-12 21:36:12 +0000, 766, 360581
2015-09-12 21:36:13 +0000, 800, 361381
2015-09-12 21:36:14 +0000, 766, 362147
2015-09-12 21:36:15 +0000, 765, 362912
2015-09-12 21:36:15 +0000, 796, 363708
2015-09-12 21:36:16 +0000, 778, 364486
2015-09-12 21:36:17 +0000, 765, 365251
2015-09-12 21:36:18 +0000, 803, 366054
2015-09-12 21:36:19 +0000, 854, 366908
2015-09-12 21:36:19 +0000, 799, 367707
2015-09-12 21:36:20 +0000, 780, 368487
2015-09-12 21:36:21 +0000, 783, 369270
2015-09-12 21:36:22 +0000, 760, 370030
2015-09-12 21:36:22 +0000, 728, 370758
2015-09-12 21:36:24 +0000, 680, 371438
2015-09-12 21:36:24 +0000, 651, 372089
2015-09-12 21:36:24 +0000, 625, 372714
2015-09-12 21:36:25 +0000, 608, 373322
2015-09-12 21:36:26 +0000, 597, 373919
2015-09-12 21:36:26 +0000, 573, 374492
2015-09-12 21:36:27 +0000, 573, 375065
2015-09-12 21:36:27 +0000, 558, 375623
2015-09-12 21:36:28 +0000, 552, 376175
2015-09-12 21:36:28 +0000, 551, 376726
2015-09-12 21:36:29 +0000, 553, 377279
2015-09-12 21:36:30 +0000, 553, 377832
2015-09-12 21:36:30 +0000, 545, 378377
2015-09-12 21:36:31 +0000, 548, 378925
2015-09-12 21:36:31 +0000, 547, 379472
2015-09-12 21:36:32 +0000, 552, 380024
